INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
8062,JEDD,Street,,MITCHELTON,"M, MITCHELTON"
8063,JEDDA,Place,,SUNNYBANK,"S, SUNNYBANK"
8064,JEENLY,Street,,GEEBUNG,"G, GEEBUNG"
8065,JEEREE,Street,,JINDALEE,"J, JINDALEE"
8066,JEETHO,Street,,JINDALEE,"J, JINDALEE"
8067,JEFFCOTT,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
8068,JEFFERIS,Street,,VIRGINIA,"V, VIRGINIA"
8069,JEFFERSON,Place,,STRETTON,"S, STRETTON"
8070,JEFFERY,Street,,WILSTON,"W, WILSTON"
8071,JELLICOE,Street,,COORPAROO,"C, COORPAROO"
8072,JELLICOE,Street,,MANLY WEST,"M, MANLY WEST"
8073,JEMMA,Street,,RICHLANDS,"R, RICHLANDS"
8074,JEN,Street,,ALGESTER,"A, ALGESTER"
8075,JENDIE,Street,,GEEBUNG,"G, GEEBUNG"
8076,JENEE,Street,,JINDALEE,"J, JINDALEE"
8077,JENKINSON,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
8078,JENNER,Street,,NUNDAH,"N, NUNDAH"
8079,JENNIFER,Street,,SEVENTEEN MILE ROCKS,"S, SEVENTEEN MILE ROCKS"
8080,JENNINGS,Court,,CARINDALE,"C, CARINDALE"
8081,JENNINGS,Street,,ZILLMERE,"Z, ZILLMERE"
8082,JENOLAN,Avenue,,BULIMBA,"B, BULIMBA"
8083,JENOLAN,Avenue,,HAWTHORNE,"H, HAWTHORNE"
8084,JENOLAN,Lane,,FITZGIBBON,"F, FITZGIBBON"
8085,JENSEN,Road,,BANYO,"B, BANYO"
8086,JENYNS,Court,,BURBANK,"B, BURBANK"
8087,JEPHSON,Street,,TOOWONG,"T, TOOWONG"
8088,JERDANEFIELD,Road,,ST LUCIA,"S, ST LUCIA"
8089,JERICHO,Circuit,,MURARRIE,"M, MURARRIE"
8090,JERMYN,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8091,JEROME,Street,,COORPAROO,"C, COORPAROO"
8092,JERRANG,Street,,CHAPEL HILL,"C, CHAPEL HILL"
8093,JERRANG,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
8094,JERROLD,Street,,SHERWOOD,"S, SHERWOOD"
8095,JERSEY,Street,,MORNINGSIDE,"M, MORNINGSIDE"
8096,JERVIS,Street,,DARRA,"D, DARRA"
8097,JERVIS,Street,,UPPER KEDRON,"U, UPPER KEDRON"
8098,JESMOND,Road,,FIG TREE POCKET,"F, FIG TREE POCKET"
8099,JESMOND,Road,,INDOOROOPILLY,"I, INDOOROOPILLY"
8100,JESS,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
8101,JESSAMINE,Court,,KENMORE HILLS,"K, KENMORE HILLS"
8102,JESSARD,Street,,WYNNUM,"W, WYNNUM"
8103,JESSICA,Crescent,,NUDGEE,"N, NUDGEE"
8104,JESSICA,Street,,TARINGA,"T, TARINGA"
8105,JESSIE WADSWORTH,Street,,COWAN COWAN,"C, COWAN COWAN"
8106,JESSIE,Street,,PETRIE TERRACE,"P, PETRIE TERRACE"
8107,JESSIELEA,Street,,WYNNUM WEST,"W, WYNNUM WEST"
8108,JESSON,Street,,ZILLMERE,"Z, ZILLMERE"
8109,JESSOP,Street,,WINDSOR,"W, WINDSOR"
8110,JETHRO,Street,,ASPLEY,"A, ASPLEY"
8111,JETTY,Street,,SHORNCLIFFE,"S, SHORNCLIFFE"
8112,JETTY,Walk,,FOREST LAKE,"F, FOREST LAKE"
8113,JEVONS,Street,,THE GAP,"T, THE GAP"
8114,JEWEL,Street,,KENMORE,"K, KENMORE"
8115,JEYMER,Street,,KENMORE,"K, KENMORE"
8116,JIJAWS,Street,,SUMNER,"S, SUMNER"
8117,JILBA,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
8118,JILL,Street,,BRIGHTON,"B, BRIGHTON"
8119,JILLIAN,Place,,WYNNUM WEST,"W, WYNNUM WEST"
8120,JILLIAN,Street,,CHAPEL HILL,"C, CHAPEL HILL"
8121,JILLINDA,Place,,THE GAP,"T, THE GAP"
8122,JILLOONG,Street,,MANSFIELD,"M, MANSFIELD"
8123,JIMBOUR,Close,,FOREST LAKE,"F, FOREST LAKE"
8124,JIMBOUR,Street,,KALINGA,"K, KALINGA"
8125,JIMBURN,Street,,JINDALEE,"J, JINDALEE"
8126,JIMNA,Street,,THE GAP,"T, THE GAP"
8127,JINDABYNE,Circuit,,FOREST LAKE,"F, FOREST LAKE"
8128,JINDALEE,Street,,JINDALEE,"J, JINDALEE"
8129,JINDIVICK,Street,,JINDALEE,"J, JINDALEE"
8130,JINGARA,Court,,KARANA DOWNS,"K, KARANA DOWNS"
8131,JIRRAH,Street,,JINDALEE,"J, JINDALEE"
8132,JIRRIMA,Street,,THE GAP,"T, THE GAP"
8133,JOACHIM,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
8134,JOAN,Court,,CALAMVALE,"C, CALAMVALE"
8135,JOAN,Street,,NORMAN PARK,"N, NORMAN PARK"
8136,JOB,Street,,CHAPEL HILL,"C, CHAPEL HILL"
8137,JOBS,Place,,MANLY WEST,"M, MANLY WEST"
8138,JOBSON,Street,,ALBION,"A, ALBION"
8139,JOCELYN,Court,,CHAPEL HILL,"C, CHAPEL HILL"
8140,JOCELYN,Place,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
8141,JODIE,Court,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
8142,JOE BAKER,Street,,DUTTON PARK,"D, DUTTON PARK"
8143,JOFFRE,Place,,FOREST LAKE,"F, FOREST LAKE"
8144,JOFFRE,Street,,ASHGROVE,"A, ASHGROVE"
8145,JOFFRE,Street,,COORPAROO,"C, COORPAROO"
8146,JOFFRE,Street,,WYNNUM,"W, WYNNUM"
8147,JOHANNE,Street,,WYNNUM WEST,"W, WYNNUM WEST"
8148,JOHN BRIGHT,Street,,MOOROOKA,"M, MOOROOKA"
8149,JOHN FINNEGAN,Street,,COWAN COWAN,"C, COWAN COWAN"
8150,JOHN FISHER,Drive,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
8151,JOHN,Street,,ELLEN GROVE,"E, ELLEN GROVE"
8152,JOHN,Street,,MANLY WEST,"M, MANLY WEST"
8153,JOHN,Street,,SPRING HILL,"S, SPRING HILL"
8154,JOHNS,Crescent,,BOONDALL,"B, BOONDALL"
8155,JOHNSON,Place,,MOGGILL,"M, MOGGILL"
8156,JOHNSON,Road,,FOREST LAKE,"F, FOREST LAKE"
8157,JOHNSON,Road,,HEATHWOOD,"H, HEATHWOOD"
8158,JOHNSON,Road,,LARAPINTA,"L, LARAPINTA"
8159,JOHNSON,Road,,PARKINSON,"P, PARKINSON"
8160,JOHNSON,Street,,KARANA DOWNS,"K, KARANA DOWNS"
8161,JOHNSTON,Place,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
8162,JOHNSTON,Street,,BULIMBA,"B, BULIMBA"
8163,JOHNSTON,Street,,CARINA,"C, CARINA"
8164,JOHNSTON,Street,,GORDON PARK,"G, GORDON PARK"
8165,JOHNSTON,Street,,WYNNUM,"W, WYNNUM"
8166,JOHNSTONE,Street,,SHERWOOD,"S, SHERWOOD"
8167,JOLA,Street,,ROBERTSON,"R, ROBERTSON"
8168,JOLIMONT,Avenue,,ASCOT,"A, ASCOT"
8169,JOLIMONT,Street,,SHERWOOD,"S, SHERWOOD"
8170,JOLLY,Street,,CLAYFIELD,"C, CLAYFIELD"
8171,JONATHAN,Street,,MACGREGOR,"M, MACGREGOR"
8172,JONDEL,Close,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
8173,JONES,Road,,BROOKFIELD,"B, BROOKFIELD"
8174,JONES,Road,,CAMP HILL,"C, CAMP HILL"
8175,JONES,Road,,CARINA,"C, CARINA"
8176,JONES,Road,,CARINA HEIGHTS,"C, CARINA HEIGHTS"
8177,JONES,Street,,AUCHENFLOWER,"A, AUCHENFLOWER"
8178,JONES,Street,,HIGHGATE HILL,"H, HIGHGATE HILL"
8179,JONES,Street,,RED HILL,"R, RED HILL"
8180,JONLYN,Place,,KURABY,"K, KURABY"
8181,JONQUIL,Street,,INALA,"I, INALA"
8182,JOPLIN,Street,,ROBERTSON,"R, ROBERTSON"
8183,JOPP,Street,,ANNERLEY,"A, ANNERLEY"
8184,JOPP,Street,,NORMAN PARK,"N, NORMAN PARK"
8185,JOPPA,Lane,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
8186,JORDAN,Street,,GREENSLOPES,"G, GREENSLOPES"
8187,JORDAN,Street,,RICHLANDS,"R, RICHLANDS"
8188,JORDAN,Street,,SHERWOOD,"S, SHERWOOD"
8189,JORDAN,Terrace,,BOWEN HILLS,"B, BOWEN HILLS"
8190,JORGENSON,Close,,FOREST LAKE,"F, FOREST LAKE"
8191,JORGIE,Close,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8192,JOSEPH BANKS,Avenue,,DOOLANDELLA,"D, DOOLANDELLA"
8193,JOSEPH BANKS,Avenue,,FOREST LAKE,"F, FOREST LAKE"
8194,JOSEPH,Avenue,,MOGGILL,"M, MOGGILL"
8195,JOSEPH,Place,,SINNAMON PARK,"S, SINNAMON PARK"
8196,JOSEPH,Street,,CAMP HILL,"C, CAMP HILL"
8197,JOSEPH,Street,,SHERWOOD,"S, SHERWOOD"
8198,JOSHUA,Crescent,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
8199,JOSHUA,Street,,CANNON HILL,"C, CANNON HILL"
8200,JOSHUA,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
8201,JOSLING,Street,,TOOWONG,"T, TOOWONG"
8202,JOWETT,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
8203,JOY,Place,,WAKERLEY,"W, WAKERLEY"
8204,JOY,Street,,ASPLEY,"A, ASPLEY"
8205,JOYBELLE,Street,,TAIGUM,"T, TAIGUM"
8206,JOYCE,Crescent,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
8207,JOYCE,Street,,COOPERS PLAINS,"C, COOPERS PLAINS"
8208,JOYCELAND,Street,,BRIGHTON,"B, BRIGHTON"
8209,JOYDON,Street,,BOONDALL,"B, BOONDALL"
8210,JOYNT,Street,,HAMILTON,"H, HAMILTON"
8211,JOYON,Place,,TINGALPA,"T, TINGALPA"
8212,JOYWOOD,Street,,TARRAGINDI,"T, TARRAGINDI"
8213,JUANA,Lane,,ROCHEDALE,"R, ROCHEDALE"
8214,JUBA,Street,,RIVERHILLS,"R, RIVERHILLS"
8215,JUBERRA,Street,,CHAPEL HILL,"C, CHAPEL HILL"
8216,JUBILEE,Avenue,,FOREST LAKE,"F, FOREST LAKE"
8217,JUBILEE,Close,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8218,JUBILEE,Street,,COORPAROO,"C, COORPAROO"
8219,JUBILEE,Street,,STONES CORNER,"S, STONES CORNER"
8220,JUBILEE,Terrace,,ASHGROVE,"A, ASHGROVE"
8221,JUBILEE,Terrace,,BARDON,"B, BARDON"
8222,JUBILEE,Terrace,,PADDINGTON,"P, PADDINGTON"
8223,JUDD,Street,,GUMDALE,"G, GUMDALE"
8224,JUDE,Street,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
8225,JUDGE,Street,,KALINGA,"K, KALINGA"
8226,JUDGE,Street,,NORMAN PARK,"N, NORMAN PARK"
8227,JUDGE,Street,,PETRIE TERRACE,"P, PETRIE TERRACE"
8228,JUDITH,Court,,RUNCORN,"R, RUNCORN"
8229,JUDITH,Street,,ASHGROVE,"A, ASHGROVE"
8230,JULATTEN,Place,,UPPER KEDRON,"U, UPPER KEDRON"
8231,JULIA,Close,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
8232,JULIA,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
8233,JULIA,Street,,HIGHGATE HILL,"H, HIGHGATE HILL"
8234,JULIA,Street,,NUNDAH,"N, NUNDAH"
8235,JULIA,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
8236,JULIAN,Street,,MORNINGSIDE,"M, MORNINGSIDE"
8237,JULIE,Road,,ELLEN GROVE,"E, ELLEN GROVE"
8238,JULIE,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
8239,JULIEANN,Street,,SUNNYBANK,"S, SUNNYBANK"
8240,JULIETTE,Street,,ANNERLEY,"A, ANNERLEY"
8241,JULIETTE,Street,,GREENSLOPES,"G, GREENSLOPES"
8242,JULIKA,Court,,ELLEN GROVE,"E, ELLEN GROVE"
