INDEX,STREET NAME,STREET TYPE,STREET SUFFIX,SUBURB,SUBURB LIST
1,AARON,Avenue,,HAWTHORNE,"H, HAWTHORNE"
2,AARON,Place,,INDOOROOPILLY,"I, INDOOROOPILLY"
3,ABARTH,Street,,CHERMSIDE,"C, CHERMSIDE"
4,ABBEVILLE,Street,,UPPER MOUNT GRAVATT,"U, UPPER MOUNT GRAVATT"
5,ABBEY,Place,,WYNNUM WEST,"W, WYNNUM WEST"
6,ABBEY,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
7,ABBEYFEALE,Street,,TINGALPA,"T, TINGALPA"
8,ABBEYWOOD,Street,,TAIGUM,"T, TAIGUM"
9,ABBOTSFORD,Place,,FOREST LAKE,"F, FOREST LAKE"
10,ABBOTSFORD,Road,,ALBION,"A, ALBION"
11,ABBOTSFORD,Road,,BOWEN HILLS,"B, BOWEN HILLS"
12,ABBOTSLEIGH,Street,,HOLLAND PARK,"H, HOLLAND PARK"
13,ABBOTT,Street,,ASCOT,"A, ASCOT"
14,ABBOTT,Street,,CAMP HILL,"C, CAMP HILL"
15,ABBOTT,Street,,HAMILTON,"H, HAMILTON"
16,ABBOTT,Street,,NEW FARM,"N, NEW FARM"
17,ABDALE,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
18,ABEL SMITH,Crescent,,MOUNT OMMANEY,"M, MOUNT OMMANEY"
19,ABEL,Street,,MOOROOKA,"M, MOOROOKA"
20,ABELIA,Close,,CALAMVALE,"C, CALAMVALE"
21,ABELIA,Street,,INALA,"I, INALA"
22,ABERCORN,Street,,RUNCORN,"R, RUNCORN"
23,ABERCROMBIE,Street,,ROCKLEA,"R, ROCKLEA"
24,ABERCROMBIE,Street,,TENERIFFE,"T, TENERIFFE"
25,ABERDARE,Street,,DARRA,"D, DARRA"
26,ABERDEEN,Court,,THE GAP,"T, THE GAP"
27,ABERDEEN,Crescent,,KURABY,"K, KURABY"
28,ABERDEEN,Parade,,BOONDALL,"B, BOONDALL"
29,ABERDEEN,Place,,MANLY WEST,"M, MANLY WEST"
30,ABERDEEN,Place,,UPPER KEDRON,"U, UPPER KEDRON"
31,ABERDEEN,Terrace,,GORDON PARK,"G, GORDON PARK"
32,ABERFELDY,Street,,KENMORE,"K, KENMORE"
33,ABERFOYLE,Street,,KENMORE,"K, KENMORE"
34,ABERLEIGH,Road,,HERSTON,"H, HERSTON"
35,ABERY,Lane,,GEEBUNG,"G, GEEBUNG"
36,ABILL,Court,,ALGESTER,"A, ALGESTER"
37,ABINGDON,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
38,ABINGER,Street,,MORNINGSIDE,"M, MORNINGSIDE"
39,ABLINGTON,Way,,CARINDALE,"C, CARINDALE"
40,ABLOOM,Street,,ROCHEDALE,"R, ROCHEDALE"
41,ABNEY,Street,,MOOROOKA,"M, MOOROOKA"
42,ABRAHAM,Street,,RED HILL,"R, RED HILL"
43,ABRAHAM,Street,,WILLAWONG,"W, WILLAWONG"
44,ABUKLEA,Street,,NEWMARKET,"N, NEWMARKET"
45,ABUKLEA,Street,,WILSTON,"W, WILSTON"
46,ABUKLEA,Street,West,NEWMARKET,"N, NEWMARKET"
47,ACACIA,Avenue,,CHELMER,"C, CHELMER"
48,ACACIA,Avenue,,GRACEVILLE,"G, GRACEVILLE"
49,ACACIA,Avenue,,NORTHGATE,"N, NORTHGATE"
50,ACACIA,Close,,FITZGIBBON,"F, FITZGIBBON"
51,ACACIA,Close,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
52,ACACIA,Court,,MOUNT CROSBY,"M, MOUNT CROSBY"
53,ACACIA,Drive,,ASHGROVE,"A, ASHGROVE"
54,ACACIA,Place,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
55,ACACIA,Road,,KARAWATHA,"K, KARAWATHA"
56,ACACIA,Street,,EAGLE FARM,"E, EAGLE FARM"
57,ACACIA,Street,,HEATHWOOD,"H, HEATHWOOD"
58,ACACIA,Street,,RICHLANDS,"R, RICHLANDS"
59,ACANTHUS,Street,,DARRA,"D, DARRA"
60,ACANTHUS,Street,,RICHLANDS,"R, RICHLANDS"
61,ACCESSION,Street,,BARDON,"B, BARDON"
62,ACCOLADE,Place,,CARSELDINE,"C, CARSELDINE"
63,ACCRINGTON,Place,,CHAPEL HILL,"C, CHAPEL HILL"
64,ACER,Street,,INALA,"I, INALA"
65,ACFOLD,Street,,NORMAN PARK,"N, NORMAN PARK"
66,ACHIEVEMENT,Crescent,,ACACIA RIDGE,"A, ACACIA RIDGE"
67,ACHILLES,Street,,KEDRON,"K, KEDRON"
68,ACKAMA,Street,,ALGESTER,"A, ALGESTER"
69,ACOMIS,Street,,MACKENZIE,"M, MACKENZIE"
70,ACORN,Circuit,,FOREST LAKE,"F, FOREST LAKE"
71,ACORN,Court,,ALGESTER,"A, ALGESTER"
72,ACORUS,Place,,SUNNYBANK,"S, SUNNYBANK"
73,ACRON,Street,,MACGREGOR,"M, MACGREGOR"
74,ACTION,Street,,WACOL,"W, WACOL"
75,ACTIVITY,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
76,ACTON,Street,,ASHGROVE,"A, ASHGROVE"
77,ACWORTH,Street,,KENMORE,"K, KENMORE"
78,ADA,Street,,COOPERS PLAINS,"C, COOPERS PLAINS"
79,ADA,Street,,PADDINGTON,"P, PADDINGTON"
80,ADA,Street,,TARINGA,"T, TARINGA"
81,ADA,Street,,TOOWONG,"T, TOOWONG"
82,ADA,Street,,WILSTON,"W, WILSTON"
83,ADA,Street,,WINDSOR,"W, WINDSOR"
84,ADAIR,Street,,BALD HILLS,"B, BALD HILLS"
85,ADAM,Street,,WYNNUM,"W, WYNNUM"
86,ADAMS,Street,,DEAGON,"D, DEAGON"
87,ADAMSON,Street,,WOOLOOWIN,"W, WOOLOOWIN"
88,ADAMSON,Way,,RUNCORN,"R, RUNCORN"
89,ADAVALE,Street,,BROOKFIELD,"B, BROOKFIELD"
90,ADDISON,Avenue,,BULIMBA,"B, BULIMBA"
91,ADDISON,Road,,GRACEVILLE,"G, GRACEVILLE"
92,ADDISON,Street,,RED HILL,"R, RED HILL"
93,ADDISON,Street,,WINDSOR,"W, WINDSOR"
94,ADELAIDE,Street,,BRISBANE CITY,"B, BRISBANE CITY"
95,ADELAIDE,Street,,CARINA,"C, CARINA"
96,ADELAIDE,Street,,CLAYFIELD,"C, CLAYFIELD"
97,ADELAIDE,Street,,WEST END,"W, WEST END"
98,ADELAIDE,Street,East,CLAYFIELD,"C, CLAYFIELD"
99,ADELE,Street,,KEDRON,"K, KEDRON"
100,ADELINE,Close,,DURACK,"D, DURACK"
101,ADELINE,Lane,,NEW FARM,"N, NEW FARM"
102,ADEN,Street,,ALBION,"A, ALBION"
103,ADEN,Street,,CLAYFIELD,"C, CLAYFIELD"
104,ADINA,Street,,NORMAN PARK,"N, NORMAN PARK"
105,ADIOS,Close,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
106,ADLER,Lane,,MORNINGSIDE,"M, MORNINGSIDE"
107,ADLEY,Street,,CARINDALE,"C, CARINDALE"
108,ADMINISTRATION,Road,,MURARRIE,"M, MURARRIE"
109,ADNAR,Street,,WISHART,"W, WISHART"
110,ADONIS,Street,,INALA,"I, INALA"
111,ADRIA,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
112,ADRIAN,Place,,WISHART,"W, WISHART"
113,ADRIAN,Street,,MANLY WEST,"M, MANLY WEST"
114,ADSETT,Street,,TARINGA,"T, TARINGA"
115,ADVANX,Street,,KENMORE HILLS,"K, KENMORE HILLS"
116,ADVENTURER,Street,,KURABY,"K, KURABY"
117,AEGEAN,Close,,JAMBOREE HEIGHTS,"J, JAMBOREE HEIGHTS"
118,AEMILIA,Avenue,,SEVEN HILLS,"S, SEVEN HILLS"
119,AEROPLANE,Street,,CANNON HILL,"C, CANNON HILL"
120,AESOP,Street,,COOPERS PLAINS,"C, COOPERS PLAINS"
121,AESOP,Street,,ROBERTSON,"R, ROBERTSON"
122,AFFLECK,Street,,ALDERLEY,"A, ALDERLEY"
123,AGARS,Street,,PADDINGTON,"P, PADDINGTON"
124,AGATE,Street,,CAMP HILL,"C, CAMP HILL"
125,AGATHIS,Place,,FOREST LAKE,"F, FOREST LAKE"
126,AGATON,Street,,WISHART,"W, WISHART"
127,AGAVE,Court,,RUNCORN,"R, RUNCORN"
128,AGAY,Street,,UPPER MOUNT GRAVATT,"U, UPPER MOUNT GRAVATT"
129,AGINCOURT,Street,,GRANGE,"G, GRANGE"
130,AGNES,Place,,FIG TREE POCKET,"F, FIG TREE POCKET"
131,AGNES,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
132,AGNES,Street,,ALBION,"A, ALBION"
133,AGNES,Street,,AUCHENFLOWER,"A, AUCHENFLOWER"
134,AGNES,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
135,AGNES,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
136,AGNES,Street,,MORNINGSIDE,"M, MORNINGSIDE"
137,AGNES,Street,,SHORNCLIFFE,"S, SHORNCLIFFE"
138,AGNES,Street,,SUNNYBANK,"S, SUNNYBANK"
139,AGNES,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
140,AGNES,Street,,WYNNUM,"W, WYNNUM"
141,AGNEW,Street,,ASPLEY,"A, ASPLEY"
142,AGNEW,Street,,MORNINGSIDE,"M, MORNINGSIDE"
143,AGNEW,Street,,NORMAN PARK,"N, NORMAN PARK"
144,AGNEW,Street,,SANDGATE,"S, SANDGATE"
145,AGNEW,Street,,SEVEN HILLS,"S, SEVEN HILLS"
146,AGOSTINO,Close,,DOOLANDELLA,"D, DOOLANDELLA"
147,AGRAVAIN,Street,,CARINDALE,"C, CARINDALE"
148,AIDANS,Way,,CORINDA,"C, CORINDA"
149,AILSA,Street,,ASPLEY,"A, ASPLEY"
150,AINGER,Street,,SALISBURY,"S, SALISBURY"
151,AINSDALE,Street,,CHERMSIDE WEST,"C, CHERMSIDE WEST"
152,AINSLIE,Street,,ALDERLEY,"A, ALDERLEY"
153,AINSWORTH,Street,,SALISBURY,"S, SALISBURY"
154,AINTREE,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
155,AIR,Street,,BALD HILLS,"B, BALD HILLS"
156,AIRD,Street,,SALISBURY,"S, SALISBURY"
157,AIRLIE,Road,,PULLENVALE,"P, PULLENVALE"
158,AIRPORT,Drive,,BRISBANE AIRPORT,"B, BRISBANE AIRPORT"
159,AIRVILLE,Street,,DURACK,"D, DURACK"
160,AIRY,Street,,WACOL,"W, WACOL"
161,AITCHESON,Street,,MOGGILL,"M, MOGGILL"
162,AJAX,Lane,,ASHGROVE,"A, ASHGROVE"
163,AJI,Street,,ALGESTER,"A, ALGESTER"
164,AKALA,Street,,CAMP HILL,"C, CAMP HILL"
165,AKAMA,Road,,DURACK,"D, DURACK"
166,AKAROA,Avenue,,GEEBUNG,"G, GEEBUNG"
167,AKENSIDE,Street,,WACOL,"W, WACOL"
168,AKONA,Place,,KARANA DOWNS,"K, KARANA DOWNS"
169,AKONNA,Street,,WYNNUM,"W, WYNNUM"
170,AKORA,Street,,MACGREGOR,"M, MACGREGOR"
171,AKUNA,Court,,HEMMANT,"H, HEMMANT"
172,AKUNA,Street,,KENMORE,"K, KENMORE"
173,ALABASTER,Place,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
174,ALAMINE,Street,,HOLLAND PARK,"H, HOLLAND PARK"
175,ALAN,Crescent,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
176,ALANA,Court,,CHAPEL HILL,"C, CHAPEL HILL"
177,ALAND,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
178,ALASTAIR,Street,,LOTA,"L, LOTA"
179,ALASTAIR,Street,,MANLY,"M, MANLY"
180,ALBA,Close,,FOREST LAKE,"F, FOREST LAKE"
181,ALBA,Place,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
182,ALBAN,Street,,OXLEY,"O, OXLEY"
183,ALBANY CREEK,Road,,ASPLEY,"A, ASPLEY"
184,ALBANY CREEK,Road,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
185,ALBANY,Close,,RUNCORN,"R, RUNCORN"
186,ALBANY,Street,,WINDSOR,"W, WINDSOR"
187,ALBAR,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
188,ALBATROSS,Street,,UPPER KEDRON,"U, UPPER KEDRON"
189,ALBEMARLE,Street,,YEERONGPILLY,"Y, YEERONGPILLY"
190,ALBEMARLE,Street,,YERONGA,"Y, YERONGA"
191,ALBERON,Street,,WISHART,"W, WISHART"
192,ALBERT,Place,,PARKINSON,"P, PARKINSON"
193,ALBERT,Street,,ANNERLEY,"A, ANNERLEY"
194,ALBERT,Street,,BRISBANE CITY,"B, BRISBANE CITY"
195,ALBERT,Street,,CAMP HILL,"C, CAMP HILL"
196,ALBERT,Street,,DOOLANDELLA,"D, DOOLANDELLA"
197,ALBERT,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
198,ALBERT,Street,,ROCKLEA,"R, ROCKLEA"
199,ALBERT,Street,,SPRING HILL,"S, SPRING HILL"
200,ALBERT,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
201,ALBERTON,Court,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
202,ALBEZIA,Street,,ALGESTER,"A, ALGESTER"
203,ALBION,Road,,ALBION,"A, ALBION"
204,ALBION,Road,,WINDSOR,"W, WINDSOR"
205,ALBION,Street,,SANDGATE,"S, SANDGATE"
206,ALBION,Street,,WOOLLOONGABBA,"W, WOOLLOONGABBA"
207,ALBURY,Street,,DEAGON,"D, DEAGON"
208,ALBYN,Road,,SUNNYBANK,"S, SUNNYBANK"
209,ALCESTER,Street,,GRANGE,"G, GRANGE"
210,ALCHERINGA,Place,,ROBERTSON,"R, ROBERTSON"
211,ALCONAH,Street,,SUNNYBANK,"S, SUNNYBANK"
212,ALCORN,Street,,TARRAGINDI,"T, TARRAGINDI"
213,ALDA,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
214,ALDEA,Circuit,,BRACKEN RIDGE,"B, BRACKEN RIDGE"
215,ALDEA,Place,,STRETTON,"S, STRETTON"
216,ALDEBARAN,Street,,INALA,"I, INALA"
217,ALDEN,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
218,ALDER,Street,,BELLBOWRIE,"B, BELLBOWRIE"
219,ALDERBURY,Place,,CARINDALE,"C, CARINDALE"
220,ALDERGROVE,Street,,CHAPEL HILL,"C, CHAPEL HILL"
221,ALDERLEY,Avenue,,ALDERLEY,"A, ALDERLEY"
222,ALDERSGATE,Street,,OXLEY,"O, OXLEY"
223,ALDERSHOT,Street,,SUNNYBANK,"S, SUNNYBANK"
224,ALDERSON,Street,,ALDERLEY,"A, ALDERLEY"
225,ALDERSON,Street,,NEWMARKET,"N, NEWMARKET"
226,ALDERWOOD,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
227,ALDFORD,Street,,CARINDALE,"C, CARINDALE"
228,ALDGATE,Street,,EVERTON PARK,"E, EVERTON PARK"
229,ALDINGA,Street,,GAYTHORNE,"G, GAYTHORNE"
230,ALDIS,Street,,CHANDLER,"C, CHANDLER"
231,ALDORA,Street,,TARRAGINDI,"T, TARRAGINDI"
232,ALDREN,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
233,ALDRIDGE,Street,,AUCHENFLOWER,"A, AUCHENFLOWER"
234,ALDRITT,Place,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
235,ALDWYCH,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
236,ALE,Street,,BULIMBA,"B, BULIMBA"
237,ALENOLA,Street,,CHAPEL HILL,"C, CHAPEL HILL"
238,ALEX,Close,,UPPER KEDRON,"U, UPPER KEDRON"
239,ALEX,Place,,ROCHEDALE,"R, ROCHEDALE"
240,ALEX,Street,,WYNNUM WEST,"W, WYNNUM WEST"
241,ALEXANDER,Close,,MACKENZIE,"M, MACKENZIE"
242,ALEXANDER,Road,,OXLEY,"O, OXLEY"
243,ALEXANDER,Street,,LOTA,"L, LOTA"
244,ALEXANDER,Street,,ZILLMERE,"Z, ZILLMERE"
245,ALEXANDRA,Avenue,,CALAMVALE,"C, CALAMVALE"
246,ALEXANDRA,Avenue,,TARINGA,"T, TARINGA"
247,ALEXANDRA,Close,,ASPLEY,"A, ASPLEY"
248,ALEXANDRA,Place,,MURARRIE,"M, MURARRIE"
249,ALEXANDRA,Place,,RUNCORN,"R, RUNCORN"
250,ALEXANDRA,Road,,ASCOT,"A, ASCOT"
251,ALEXANDRA,Road,,CLAYFIELD,"C, CLAYFIELD"
252,ALEXANDRA,Street,,BALMORAL,"B, BALMORAL"
253,ALEXANDRA,Street,,BARDON,"B, BARDON"
254,ALEXANDRA,Street,,PADDINGTON,"P, PADDINGTON"
255,ALEXANDRA,Street,,SANDGATE,"S, SANDGATE"
256,ALEXANDRIA,Street,,BOWEN HILLS,"B, BOWEN HILLS"
257,ALEXANDRINA,Circuit,,FOREST LAKE,"F, FOREST LAKE"
258,ALEXIS,Street,,ASPLEY,"A, ASPLEY"
259,ALFORD,Street,,NEW FARM,"N, NEW FARM"
260,ALFRED,Circuit,,CALAMVALE,"C, CALAMVALE"
261,ALFRED,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
262,ALGAR,Street,,WINDSOR,"W, WINDSOR"
263,ALGESTER,Road,,ALGESTER,"A, ALGESTER"
264,ALGESTER,Road,,CALAMVALE,"C, CALAMVALE"
265,ALGESTER,Road,,PARKINSON,"P, PARKINSON"
266,ALGOL,Street,,INALA,"I, INALA"
267,ALGONA,Street,,HOLLAND PARK WEST,"H, HOLLAND PARK WEST"
268,ALGOORI,Street,,MORNINGSIDE,"M, MORNINGSIDE"
269,ALICE,Place,,STONES CORNER,"S, STONES CORNER"
270,ALICE,Street,,BRISBANE CITY,"B, BRISBANE CITY"
271,ALICE,Street,,KEDRON,"K, KEDRON"
272,ALICIA,Street,,NUNDAH,"N, NUNDAH"
273,ALIEDA,Court,,SINNAMON PARK,"S, SINNAMON PARK"
274,ALINGTON,Lane,,ASPLEY,"A, ASPLEY"
275,ALISON,Place,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
276,ALISON,Street,,HAMILTON,"H, HAMILTON"
277,ALKEEBA,Street,,BANYO,"B, BANYO"
278,ALKINA,Street,,KENMORE,"K, KENMORE"
279,ALKIRA,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
280,ALKOOMIE,Street,,WYNNUM,"W, WYNNUM"
281,ALLAMANDA,Court,,SINNAMON PARK,"S, SINNAMON PARK"
282,ALLAMANDA,Place,,CHERMSIDE WEST,"C, CHERMSIDE WEST"
283,ALLAMANDA,Place,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
284,ALLAMANDA,Street,,FAIRFIELD,"F, FAIRFIELD"
285,ALLAMANDA,Street,,RUNCORN,"R, RUNCORN"
286,ALLAMANDA,Street,,THE GAP,"T, THE GAP"
287,ALLAMBI,Court,,CORINDA,"C, CORINDA"
288,ALLAMBIC,Street,,THE GAP,"T, THE GAP"
289,ALLAMBIE,Street,,CARINA,"C, CARINA"
290,ALLAN,Street,,KEDRON,"K, KEDRON"
291,ALLAN,Terrace,,CORINDA,"C, CORINDA"
292,ALLANDALE,Place,,THE GAP,"T, THE GAP"
293,ALLANDALE,Street,,SALISBURY,"S, SALISBURY"
294,ALLARA,Place,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
295,ALLARA,Street,,MANLY,"M, MANLY"
296,ALLARD,Close,,BELLBOWRIE,"B, BELLBOWRIE"
297,ALLARDYCE,Street,,GRACEVILLE,"G, GRACEVILLE"
298,ALLARTON,Street,,COOPERS PLAINS,"C, COOPERS PLAINS"
299,ALLAWAH,Road,,CHUWAR,"C, CHUWAR"
300,ALLAWAH,Street,,YEERONGPILLY,"Y, YEERONGPILLY"
301,ALLBUTT,Street,,KURABY,"K, KURABY"
302,ALLEENA,Street,,CHERMSIDE,"C, CHERMSIDE"
303,ALLEN,Close,,FOREST LAKE,"F, FOREST LAKE"
304,ALLEN,Street,,CORINDA,"C, CORINDA"
305,ALLEN,Street,,HAMILTON,"H, HAMILTON"
306,ALLEN,Street,,SANDGATE,"S, SANDGATE"
307,ALLEN,Street,,SOUTH BRISBANE,"S, SOUTH BRISBANE"
308,ALLEN,Street,,WYNNUM,"W, WYNNUM"
309,ALLENBY,Street,,SPRING HILL,"S, SPRING HILL"
310,ALLENDALE,Street,,CHANDLER,"C, CHANDLER"
311,ALLINGA,Street,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
312,ALLINGHAM,Street,,KURABY,"K, KURABY"
313,ALLINGTON,Street,,CARINDALE,"C, CARINDALE"
314,ALLIRA,Crescent,,CARSELDINE,"C, CARSELDINE"
315,ALLISON,Street,,BOWEN HILLS,"B, BOWEN HILLS"
316,ALLISTER,Street,,BOONDALL,"B, BOONDALL"
317,ALLOA,Street,,WYNNUM WEST,"W, WYNNUM WEST"
318,ALLOM,Street,,WINDSOR,"W, WINDSOR"
319,ALLORA,Street,,GRACEVILLE,"G, GRACEVILLE"
320,ALLOWAY,Close,,PALLARA,"P, PALLARA"
321,ALLOWRIE,Street,,STAFFORD,"S, STAFFORD"
322,ALLPASS,Parade,,SHORNCLIFFE,"S, SHORNCLIFFE"
323,ALLSPICE,Street,,BELLBOWRIE,"B, BELLBOWRIE"
324,ALLWOOD,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
325,ALLWORTH,Street,,NORTHGATE,"N, NORTHGATE"
326,ALMA,Road,,CLAYFIELD,"C, CLAYFIELD"
327,ALMA,Street,,PADDINGTON,"P, PADDINGTON"
328,ALMAVALE,Street,,CARINDALE,"C, CARINDALE"
329,ALMAY,Street,,KENMORE,"K, KENMORE"
330,ALMEIDA,Street,,INDOOROOPILLY,"I, INDOOROOPILLY"
331,ALMOND,Street,,NORTHGATE,"N, NORTHGATE"
332,ALMORA,Street,,LUTWYCHE,"L, LUTWYCHE"
333,ALMORA,Street,,WOOLOOWIN,"W, WOOLOOWIN"
334,ALNESS,Street,,WYNNUM WEST,"W, WYNNUM WEST"
335,ALOE,Street,,WAVELL HEIGHTS,"W, WAVELL HEIGHTS"
336,ALOOMBA,Road,,ASHGROVE,"A, ASHGROVE"
337,ALOOMBA,Street,,BALMORAL,"B, BALMORAL"
338,ALPENA,Close,,CARINDALE,"C, CARINDALE"
339,ALPERTON,Road,,BURBANK,"B, BURBANK"
340,ALPHA,Street,,TARINGA,"T, TARINGA"
341,ALPHITONIA,Court,,MOGGILL,"M, MOGGILL"
342,ALPHITONIA,Crescent,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
343,ALPHITONIA,Street,,SEVENTEEN MILE ROCKS,"S, SEVENTEEN MILE ROCKS"
344,ALPINE,Place,,BELMONT,"B, BELMONT"
345,ALPINE,Place,,FOREST LAKE,"F, FOREST LAKE"
346,ALPINE,Street,,BALD HILLS,"B, BALD HILLS"
347,ALPINE,Street,,KEPERRA,"K, KEPERRA"
348,ALPINEA,Court,,SINNAMON PARK,"S, SINNAMON PARK"
349,ALPINIA,Place,,CALAMVALE,"C, CALAMVALE"
350,ALPITA,Street,,KURABY,"K, KURABY"
351,ALROY,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
352,ALSTONIA,Street,,ALGESTER,"A, ALGESTER"
353,ALTAIR,Street,,INALA,"I, INALA"
354,ALTANDI,Street,,RUNCORN,"R, RUNCORN"
355,ALTANDI,Street,,SUNNYBANK,"S, SUNNYBANK"
356,ALTER,Street,,WYNNUM WEST,"W, WYNNUM WEST"
357,ALTHEA,Close,,SINNAMON PARK,"S, SINNAMON PARK"
358,ALTHEA,Street,,SALISBURY,"S, SALISBURY"
359,ALTHORP,Road,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
360,ALTHORP,Road,,MCDOWALL,"M, MCDOWALL"
361,ALTITUDE,Street,,ROCHEDALE,"R, ROCHEDALE"
362,ALTOFT,Street,,KURABY,"K, KURABY"
363,ALTOLA,Street,,DURACK,"D, DURACK"
364,ALTON,Street,,COOPERS PLAINS,"C, COOPERS PLAINS"
365,ALTON,Terrace,,THE GAP,"T, THE GAP"
366,ALUMUNA,Street,,SUNNYBANK HILLS,"S, SUNNYBANK HILLS"
367,ALUTHA,Road,,THE GAP,"T, THE GAP"
368,ALUTHA,Street,,CANNON HILL,"C, CANNON HILL"
369,ALVA,Terrace,,GORDON PARK,"G, GORDON PARK"
370,ALVERNA,Close,,WYNNUM,"W, WYNNUM"
371,ALVERSTONE,Street,,BANYO,"B, BANYO"
372,ALVESTON,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
373,ALWYN,Street,,STAFFORD HEIGHTS,"S, STAFFORD HEIGHTS"
374,AMADEUS,Place,,ASPLEY,"A, ASPLEY"
375,AMADEUS,Place,,WESTLAKE,"W, WESTLAKE"
376,AMALFI,Street,,PALLARA,"P, PALLARA"
377,AMAMOOR,Court,,FOREST LAKE,"F, FOREST LAKE"
378,AMANDA,Place,,BRIDGEMAN DOWNS,"B, BRIDGEMAN DOWNS"
379,AMANDA,Street,,BROOKFIELD,"B, BROOKFIELD"
380,AMANDA,Street,,WYNNUM WEST,"W, WYNNUM WEST"
381,AMARA,Crescent,,FOREST LAKE,"F, FOREST LAKE"
382,AMARANTHUS,Street,,RUNCORN,"R, RUNCORN"
383,AMARINA,Avenue,,ASHGROVE,"A, ASHGROVE"
384,AMARNA,Street,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
385,AMAROO,Street,,ARCHERFIELD,"A, ARCHERFIELD"
386,AMAZONITE,Street,,PALLARA,"P, PALLARA"
387,AMAZONS,Place,,JINDALEE,"J, JINDALEE"
388,AMAZONS,Place,,SINNAMON PARK,"S, SINNAMON PARK"
389,AMBARA,Street,,BELMONT,"B, BELMONT"
390,AMBER,Close,,EIGHT MILE PLAINS,"E, EIGHT MILE PLAINS"
391,AMBER,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
392,AMBERELLE,Place,,CHAPEL HILL,"C, CHAPEL HILL"
393,AMBERJACK,Street,,MANLY WEST,"M, MANLY WEST"
394,AMBLESIDE,Street,,WEST END,"W, WEST END"
395,AMBOOL,Street,,LOTA,"L, LOTA"
396,AMBROSE,Street,,BRIGHTON,"B, BRIGHTON"
397,AMBROSIUS,Street,,CARINDALE,"C, CARINDALE"
398,AMEGA,Street,,MOUNT GRAVATT EAST,"M, MOUNT GRAVATT EAST"
399,AMELIA,Street,,ALBION,"A, ALBION"
400,AMELIA,Street,,COORPAROO,"C, COORPAROO"
401,AMELIA,Street,,FORTITUDE VALLEY,"F, FORTITUDE VALLEY"
402,AMELIA,Street,,NORTHGATE,"N, NORTHGATE"
403,AMELIA,Street,,NUNDAH,"N, NUNDAH"
404,AMELIA,Street,,PADDINGTON,"P, PADDINGTON"
405,AMERSHAM,Crescent,,CARINDALE,"C, CARINDALE"
406,AMERSHAM,Street,,WEST END,"W, WEST END"
407,AMERY,Street,,MOOROOKA,"M, MOOROOKA"
408,AMES,Street,,COORPAROO,"C, COORPAROO"
409,AMESBURY,Street,,KANGAROO POINT,"K, KANGAROO POINT"
410,AMETHYST,Street,,HOLLAND PARK,"H, HOLLAND PARK"
411,AMETHYST,Street,,ROCHEDALE,"R, ROCHEDALE"
412,AMHERST,Street,,ACACIA RIDGE,"A, ACACIA RIDGE"
